"Entity1";"Entity2";"ClickstreamEnt1Ent2";"PopularityEnt1";"PopularityEnt2";"PageRankEnt1";"PageRankEnt2";"PageViewEnt1";"PageViewEnt2";"PopularityDiff";"PopularitySum";"CosineSimilarityEnt1Ent2";"DBpediaRelatednessEnt1Ent2";"PalmaInterestingnessEnt1Ent2";"PalmaInterestingness2Ent1Ent2";"PalmaInterestingness3Ent1Ent2";"PalmaInterestingness4Ent1Ent2";"PalmaInterestingness5Ent1Ent2";"PalmaInterestingness6Ent1Ent2";"PalmaInterestingness7Ent1Ent2"
"http://dbpedia.org/resource/Marie_Curie";"http://dbpedia.org/resource/Physics";30;1350920.3;575025.67;0.2197598183;0.1896663156;296878;109063;775894.63;1925945.97;0.33;0.48;0.3377418819;0.36;0.06;0.13;0.3;0.12;0.13
"http://dbpedia.org/resource/Albert_Einstein";"http://dbpedia.org/resource/Paparoa_Range";42;2747813.11;2231.34;0.1535068007;0.1384815744;421808;309;2745581.77;2750044.46;0.19;0.57;0.798855033;0.39;0.05;0.14;0.33;0.14;0.13
"http://dbpedia.org/resource/Giacomo_Casanova";"http://dbpedia.org/resource/Don_Juan";433;5197519.76;1478519.94;0.0081156017;0.0175567467;42181;25958;3718999.82;6676039.7;0.29;0.33;0.2470603619;0.14;0.03;0.05;0.11;0.16;0.11
"http://dbpedia.org/resource/Marie_Curie";"http://dbpedia.org/resource/Atom";11;1350920.3;356340.88;0.2197598183;0.1991099106;296878;70951;994579.43;1707261.18;0.3;0.31;0.1768032467;0.33;0.1;0.12;0.27;0.14;0.11
"http://dbpedia.org/resource/Venetian_language";"http://dbpedia.org/resource/Giacomo_Casanova";23;135670.1;5197519.76;0.1221197594;0.0081156017;16568;42181;5061849.66;5333189.86;0.28;0.39;0.3599672799;0.32;0.06;0.11;0.25;0.15;0.12
"http://dbpedia.org/resource/Venice";"http://dbpedia.org/resource/Giacomo_Casanova";167;744939.19;5197519.76;0.1423874612;0.0081156017;106070;42181;4452580.57;5942458.95;0.37;0.49;0.301926939;0.24;0.04;0.09;0.2;0.12;0.14
"http://dbpedia.org/resource/Albert_Einstein";"http://dbpedia.org/resource/Hendrik_Lorentz";36;2747813.11;166350411.4;0.1535068007;0.0001051876;421808;17498;163602598.29;169098224.51;0.36;0.29;0.0434263511;0.3;0.08;0.09;0.2;0.14;0.12
"http://dbpedia.org/resource/Carlo_Goldoni";"http://dbpedia.org/resource/Lorenzo_Da_Ponte";1;4239.77;10799.22;0.8908491772;0.3401173047;3777;3673;6559.44;15038.99;0.29;0.84;0.7521915454;0.87;0.12;0.33;0.4;0.16;0.18
"http://dbpedia.org/resource/Carlo_Goldoni";"http://dbpedia.org/resource/Zanetta_Farussi";1;4239.77;948.89;0.8908491772;0.9;3777;854;3290.89;5188.66;0.26;0.8;0.7628373616;0.83;0.12;0.32;0.41;0.16;0.17
"http://dbpedia.org/resource/Carlo_Goldoni";"http://dbpedia.org/resource/Lena_Olin";1;4239.77;270597.69;0.8908491772;0.1379723512;3777;37335;266357.92;274837.47;0.13;0.76;1;0.82;0.12;0.33;0.31;0.17;0.14
