Entity Couple,Annotator,1. Would you say these entities are closely related in any way?,2. Do you exactly know how they are connected?,3. Do you believe most people would be curious to discover more about their connection - if there were one?,Result,Surprisal,Annotation,S_corrected_Annotation
Entity Pair 21: Pallava_dynasty AND Narasimhavarman_I,Anonymous User 1,No,Does not apply,Yes,Serendipitous,Unexpected,1,1.2
Entity Pair 21: Pallava_dynasty AND Narasimhavarman_I,Anonymous User 2,Yes,No,Yes,Serendipitous,Mildly Unexpected,1,1
Entity Pair 21: Pallava_dynasty AND Narasimhavarman_I,Anonymous User 3,Yes,No,Yes,Serendipitous,Mildly Unexpected,1,1
Entity Pair 22: 2018_FIFA_World_Cup_squads AND Michael_Krohn-Dehli,Anonymous User 1,No,Does not apply,Yes,Serendipitous,Unexpected,1,1.2
Entity Pair 22: 2018_FIFA_World_Cup_squads AND Michael_Krohn-Dehli,Anonymous User 2,Yes,No,Yes,Serendipitous,Mildly Unexpected,1,1
Entity Pair 22: 2018_FIFA_World_Cup_squads AND Michael_Krohn-Dehli,Anonymous User 3,Yes,No,Yes,Serendipitous,Mildly Unexpected,1,1
"Entity Pair 23: Sagaponack,_New_York AND Kurt_Vonnegut",Anonymous User 1,No,Does not apply,No,Irrelevant,Unexpected,0.5,0.7
"Entity Pair 23: Sagaponack,_New_York AND Kurt_Vonnegut",Anonymous User 2,Yes,No,No,Irrelevant,Mildly Unexpected,0.5,0.5
"Entity Pair 23: Sagaponack,_New_York AND Kurt_Vonnegut",Anonymous User 3,No,Does not apply,No,Irrelevant,Unexpected,0.5,0.7
Entity Pair 24: Eastern_Front_(World_War_II) AND Aufbau_Ost_(1940),Anonymous User 1,Yes,Yes,Does not apply,Too obvious,Expected,0,0
Entity Pair 24: Eastern_Front_(World_War_II) AND Aufbau_Ost_(1940),Anonymous User 2,Yes,No,Yes,Serendipitous,Mildly Unexpected,1,1
Entity Pair 24: Eastern_Front_(World_War_II) AND Aufbau_Ost_(1940),Anonymous User 3,Yes,No,Yes,Serendipitous,Mildly Unexpected,1,1
Entity Pair 25: First_Barbary_War AND Gunboat,Anonymous User 1,Yes,Yes,Does not apply,Too obvious,Expected,0,0
Entity Pair 25: First_Barbary_War AND Gunboat,Anonymous User 2,Yes,No,Yes,Serendipitous,Mildly Unexpected,1,1
Entity Pair 25: First_Barbary_War AND Gunboat,Anonymous User 3,No,Does not apply,Yes,Serendipitous,Unexpected,1,1.2
Entity Pair 26: Coast_Guard_Distinguished_Service_Medal AND Silver_Star,Anonymous User 1,Yes,Yes,Does not apply,Too obvious,Expected,0,0
Entity Pair 26: Coast_Guard_Distinguished_Service_Medal AND Silver_Star,Anonymous User 2,Yes,Yes,Does not apply,Too obvious,Expected,0,0
Entity Pair 26: Coast_Guard_Distinguished_Service_Medal AND Silver_Star,Anonymous User 3,No,Does not apply,No,Irrelevant,Unexpected,0.5,0.7
Entity Pair 27: Jack_Johnson_vs._James_J._Jeffries AND Jack_London,Anonymous User 1,No,Does not apply,No,Irrelevant,Unexpected,0.5,0.7
Entity Pair 27: Jack_Johnson_vs._James_J._Jeffries AND Jack_London,Anonymous User 2,Yes,No,Yes,Serendipitous,Mildly Unexpected,1,1
Entity Pair 27: Jack_Johnson_vs._James_J._Jeffries AND Jack_London,Anonymous User 3,No,Does not apply,No,Irrelevant,Unexpected,0.5,0.7
Entity Pair 28: November_11 AND 1975_Australian_federal_election,Anonymous User 1,Yes,Yes,Does not apply,Too obvious,Expected,0,0
Entity Pair 28: November_11 AND 1975_Australian_federal_election,Anonymous User 2,Yes,No,Yes,Serendipitous,Mildly Unexpected,1,1
Entity Pair 28: November_11 AND 1975_Australian_federal_election,Anonymous User 3,No,Does not apply,No,Irrelevant,Unexpected,0.5,0.7
Entity Pair 29: Dixiana_(film) AND Bill_Robinson,Anonymous User 1,No,Does not apply,No,Irrelevant,Unexpected,0.5,0.7
Entity Pair 29: Dixiana_(film) AND Bill_Robinson,Anonymous User 2,Yes,No,Yes,Serendipitous,Mildly Unexpected,1,1
Entity Pair 29: Dixiana_(film) AND Bill_Robinson,Anonymous User 3,No,Does not apply,No,Irrelevant,Unexpected,0.5,0.7
Entity Pair 30: Neoclassical_architecture AND Imperial_Museum_of_Brazil,Anonymous User 1,Yes,Yes,No,Irrelevant,Expected,0.5,0.5
Entity Pair 30: Neoclassical_architecture AND Imperial_Museum_of_Brazil,Anonymous User 2,Yes,No,Yes,Serendipitous,Mildly Unexpected,1,1
Entity Pair 30: Neoclassical_architecture AND Imperial_Museum_of_Brazil,Anonymous User 3,Yes,No,No,Irrelevant,Mildly Unexpected,0.5,0.5
Entity Pair 31: Juan_Almeida_Bosque AND Cuban_Revolution,Anonymous User 1,No,Does not apply,Yes,Serendipitous,Unexpected,1,1.2
Entity Pair 31: Juan_Almeida_Bosque AND Cuban_Revolution,Anonymous User 2,Yes,No,Yes,Serendipitous,Mildly Unexpected,1,1
Entity Pair 31: Juan_Almeida_Bosque AND Cuban_Revolution,Anonymous User 3,No,Does not apply,No,Irrelevant,Unexpected,0.5,0.7
Entity Pair 32: Space_Shuttle_Discovery AND STS-60,Anonymous User 1,No,Does not apply,Yes,Serendipitous,Unexpected,1,1.2
Entity Pair 32: Space_Shuttle_Discovery AND STS-60,Anonymous User 2,Yes,No,Yes,Serendipitous,Mildly Unexpected,1,1
Entity Pair 32: Space_Shuttle_Discovery AND STS-60,Anonymous User 3,Yes,No,Yes,Serendipitous,Mildly Unexpected,1,1
Entity Pair 33: Runet AND Yandex,Anonymous User 1,Yes,Yes,Does not apply,Too obvious,Expected,0,0
Entity Pair 33: Runet AND Yandex,Anonymous User 2,Yes,No,No,Irrelevant,Mildly Unexpected,0.5,0.5
Entity Pair 33: Runet AND Yandex,Anonymous User 3,No,Does not apply,No,Irrelevant,Unexpected,0.5,0.7
"Entity Pair 34: Roanoke,_Virginia AND Salvage_Dawgs",Anonymous User 1,No,Does not apply,No,Irrelevant,Unexpected,0.5,0.7
"Entity Pair 34: Roanoke,_Virginia AND Salvage_Dawgs",Anonymous User 2,Yes,No,Yes,Serendipitous,Mildly Unexpected,1,1
"Entity Pair 34: Roanoke,_Virginia AND Salvage_Dawgs",Anonymous User 3,No,Does not apply,No,Irrelevant,Unexpected,0.5,0.7
"Entity Pair 35: John,_King_of_England AND Dysentery",Anonymous User 1,Yes,Yes,Does not apply,Too obvious,Expected,0,0
"Entity Pair 35: John,_King_of_England AND Dysentery",Anonymous User 2,Yes,No,Yes,Serendipitous,Mildly Unexpected,1,1
"Entity Pair 35: John,_King_of_England AND Dysentery",Anonymous User 3,Yes,No,No,Irrelevant,Mildly Unexpected,0.5,0.5
Entity Pair 36: Irish_Americans AND Plantation_of_Ulster,Anonymous User 1,Yes,Yes,Does not apply,Too obvious,Expected,0,0
Entity Pair 36: Irish_Americans AND Plantation_of_Ulster,Anonymous User 2,Yes,No,Yes,Serendipitous,Mildly Unexpected,1,1
Entity Pair 36: Irish_Americans AND Plantation_of_Ulster,Anonymous User 3,No,Does not apply,No,Irrelevant,Unexpected,0.5,0.7
Entity Pair 37: Tehran_Conference AND Kresy,Anonymous User 1,No,Does not apply,No,Irrelevant,Unexpected,0.5,0.7
Entity Pair 37: Tehran_Conference AND Kresy,Anonymous User 2,No,Does not apply,Yes,Serendipitous,Unexpected,1,1.2
Entity Pair 37: Tehran_Conference AND Kresy,Anonymous User 3,No,Does not apply,No,Irrelevant,Unexpected,0.5,0.7
Entity Pair 38: Jaideep_Ahlawat AND Meeruthiya_Gangsters,Anonymous User 1,No,Does not apply,No,Irrelevant,Unexpected,0.5,0.7
Entity Pair 38: Jaideep_Ahlawat AND Meeruthiya_Gangsters,Anonymous User 2,Yes,No,Yes,Serendipitous,Mildly Unexpected,1,1
Entity Pair 38: Jaideep_Ahlawat AND Meeruthiya_Gangsters,Anonymous User 3,No,Does not apply,No,Irrelevant,Unexpected,0.5,0.7
"Entity Pair 39: Bertrand_Dawson,_1st_Viscount_Dawson_of_Penn AND Order_of_St_Michael_and_St_George",Anonymous User 1,No,Does not apply,No,Irrelevant,Unexpected,0.5,0.7
"Entity Pair 39: Bertrand_Dawson,_1st_Viscount_Dawson_of_Penn AND Order_of_St_Michael_and_St_George",Anonymous User 2,Yes,No,Yes,Serendipitous,Mildly Unexpected,1,1
"Entity Pair 39: Bertrand_Dawson,_1st_Viscount_Dawson_of_Penn AND Order_of_St_Michael_and_St_George",Anonymous User 3,No,Does not apply,No,Irrelevant,Unexpected,0.5,0.7
