Entity1;Entity2;ClickstreamEnt1Ent2;PopularityEnt1;PopularityEnt2;PopularityDiff;PopularitySum;CosineSimilarityEnt1Ent2;DBpediaSimilarityEnt1Ent2;DBpediaRelatednessEnt1Ent2;PalmaInterestingnessEnt1Ent2;Int_Hum_Eval;ground truth (threshold 0.79);ground truth confidence values
Early_Muslim_conquests'; 'Alexander_the_Great';397;7572;113391.33;105819.33;120963.33;0.43;0.09;0.37;3.04;1;0;0.77
Lists_of_emperors'; 'Alexander_the_Great';23;686;113391.33;112705.33;114077.33;0.16;0.6;0.53;4.95;0;1;0.84
Napoleon_Crossing_the_Alps'; 'Alexander_the_Great';48;5083.33;113391.33;108308;118474.66;0.39;0.17;0.54;6.56;1;1;0.86
Greco-Persian_Wars'; 'Alexander_the_Great';54;11774.33;113391.33;101617;125165.66;0.42;0.09;0.29;3.27;0;0;0.77
Gangaridai'; 'Alexander_the_Great';18;1624.74;113391.33;111766.59;115016.07;0.36;0.19;0.38;5.92;1;0;0.77
Cassander'; 'Alexander_the_Great';170;5914.45;113391.33;107476.88;119305.78;0.5;0.92;0.25;4.23;1;1;0.8
Sang_Nila_Utama'; 'Alexander_the_Great';39;1244;113391.33;112147.33;114635.33;0.27;0.19;0.5;8;13;0;0.77
Sparta'; 'Alexander_the_Great';19;41844;113391.33;71547.33;155235.33;0.47;0.12;0.27;2.36;0;0;0.79
Tutankhamun'; 'Alexander_the_Great';14;91936.99;113391.33;21454.34;205328.32;0.41;0.69;0.45;0;1;1;0.82
Pakistan'; 'Alexander_the_Great';52;386589.38;113391.33;273198.05;499980.71;0.41;0.16;0.58;7.38;1;1;0.82
Parysatis_II'; 'Alexander_the_Great';41;1376.33;113391.33;112015;114767.66;0.44;0.6;0.34;1.38;1;1;0.86
Alexander_Mosaic'; 'Alexander_the_Great';241;2064.33;113391.33;111327;115455.66;0.55;0.12;0.37;1.9;1;1;0.8
Philip_I_of_Macedon'; 'Alexander_the_Great';18;327;113391.33;113064.33;113718.33;0.33;0.52;0.44;2.54;0;0;0.68
Ptolemy'; 'Alexander_the_Great';73;43671.68;113391.33;69719.65;157063.01;0.41;0.29;0.37;2.11;0;0;0.73
Philip_V_of_Macedon'; 'Alexander_the_Great';43;1320;113391.33;112071.33;114711.33;0.47;0.88;0.33;3.68;0;1;0.82
Shamsuddin_Ilyas_Shah'; 'Alexander_the_Great';25;393.67;113391.33;112997.66;113785;0.17;0.52;0.47;4.79;1;0;0.7
Corinthian_War'; 'Alexander_the_Great';58;1773;113391.33;111618.33;115164.33;0.44;0.1;0.33;3.52;0;0;0.67
Partition_of_Triparadisus'; 'Alexander_the_Great';29;371.33;113391.33;113020;113762.66;0.52;0.09;0.32;2.92;1;1;0.83
Jauhar'; 'Alexander_the_Great';10;13573.68;113391.33;99817.65;126965.01;0.35;0.43;0.5;5.74;1;1;0.83
