Entity1;Entity2;ClickstreamEnt1Ent2;PopularityEnt1;PopularityEnt2;PopularityDiff;PopularitySum;CosineSimilarityEnt1Ent2;DBpediaSimilarityEnt1Ent2;DBpediaRelatednessEnt1Ent2;PalmaInterestingnessEnt1Ent2
Michael_Robinson_(fullback)';2005_Penn_State_Nittany_Lions_football_team';35;5442.86;736.33;4706.53;6179.19;0.43;0.1;0.19;0.49
Battle_of_Berlin_(RAF_campaign)';H2S_(radar)';24;875.67;1309.65;433.983;2185.32;0.42;0.09;0.17;0.35
Alabama_Crimson_Tide_football';Million_Dollar_Band_(marching_band)';159;43902.33;1167.67;42734.66;45070;0.49;0.32;0.34;0.33
Édouard-Léon_Scott_de_Martinville';Rudolph_Koenig';14;656;133;523;789;0.22;0.46;0.26;0.33
Campeonato_Paulista';SC_Internacional_(SP)';81;2291;78.42;2212.58;2369.42;0.26;0.9;0.43;0.29
Jimmy_Breslin';David_Berkowitz';89;1077.67;46370;45292.33;47447.67;0.32;0.43;0.3;0.29
De_Havilland_Mosquito';H2S_(radar)';21;18615.67;1309.65;17306.02;19925.32;0.46;0.27;0.28;0.27
Newman_(Seinfeld)';David_Berkowitz';123;8361.19;46370;38008.81;54731.19;0.35;0.47;0.29;0.26
John_Wayne_Gacy';David_Berkowitz';26;86463.33;46370;40093.33;132833.330002;0.24;0.54;0.3;0.22
Arabic_maqam';Neutral_interval';26;2097;93.67;2003.33;2190.67;0.11;0.5;0.22;0.21
Second_Schleswig_War';Treaty_of_Vienna_(1864)';97;7010;404.67;6605.33;7414.67;0.49;0.12;0.19;0.2
Scarlet_Heart';Scarlet_Heart_2';402;4983;2504.67;2478.33;7487.67;0.31;0.07;0.08;0.2
Dennis_Rader';David_Berkowitz';930;47383;46370;1013;93753;0.28;0.51;0.28;0.16
Avro_Lancaster';H2S_(radar)';49;11493.67;1309.65;10184.02;12803.32;0.51;0.27;0.28;0.14
Gary_Gilmore';David_Berkowitz';11;8872.33;46370;37497.67;55242.33;0.32;0.69;0.41;0.11
RKO_General';Boss_Radio';11;406.33;157.33;248.997;563.66;0.33;0.32;0.22;0.1
