Entity1;Entity2;ClickstreamEnt1Ent2;PopularityEnt1;PopularityEnt2;PopularityDiff;PopularitySum;CosineSimilarityEnt1Ent2;DBpediaSimilarityEnt1Ent2;DBpediaRelatednessEnt1Ent2;PalmaInterestingnessEnt1Ent2
'Alexander_the_Great'; 'Mental_health';11;113391.33;19853.0;93538.33;133244.33;0.28;0.13;0.79;16.34
'Alexander_the_Great'; 'Greco-Bactrian_Kingdom';25;113391.33;8054.74;105336.59;121446.07;0.54;0.15;0.28;0.74
'Alexander_the_Great'; 'Justin_(historian)';193;113391.33;1685.96;111705.37;115077.29;0.22;0.33;0.34;1.88
'Alexander_the_Great'; 'Phalanx';386;113391.33;17000.0;96391.33;130391.33;0.39;0.1;0.37;2.88
'Alexander_the_Great'; 'Richard_Burton';16;113391.33;28327.67;85063.66;141719.0;0.35;0.32;0.53;6.26
'Alexander_the_Great'; 'Veratrum_album';232;113391.33;544.67;112846.66;113936.0;0.28;0.33;0.53;2.45
'Alexander_the_Great'; 'India';22;113391.33;843615.93;730224.6;957007.26;0.38;0.16;0.82;12.17
'Alexander_the_Great'; 'Tajikistan';13;113391.33;71886.21;41505.12;185277.54;0.34;0.16;0.46;9.32
'Alexander_the_Great'; 'Callisthenes';30;113391.33;820.0;112571.33;114211.33;0.44;0.36;0.34;0.54
'Alexander_the_Great'; 'Ptolemy';12;113391.33;43671.68;69719.65;157063.01;0.41;0.29;0.37;3.38
'Alexander_the_Great'; 'Rositsa_(river)';25;113391.33;92.98;113298.35;113484.31;0.18;0.2;0.6;5.81
'Alexander_the_Great'; 'Anaximenes_of_Lampsacus';58;113391.33;127.0;113264.33;113518.33;0.36;0.3;0.4;1.54
'Alexander_the_Great'; 'Seven_Wonders_of_the_Ancient_World';217;113391.33;39678.33;73713.0;153069.66;0.38;0.21;0.35;2.22
'Alexander_the_Great'; 'Temenus';11;113391.33;451.05;112940.28;113842.38;0.32;0.55;0.4;1.05
'Alexander_the_Great'; 'Chandragupta_Maurya';90;113391.33;65626.0;47765.33;179017.33;0.31;0.6;0.3;0.84
'Alexander_the_Great'; 'Parysatis_II';3814;113391.33;1376.33;112015.0;114767.66;0.44;0.6;0.34;0.42
'Alexander_the_Great'; 'Hephaestion';2166;113391.33;13039.39;100351.94;126430.72;0.61;0.61;0.2;2.38
'Alexander_the_Great'; 'Ancient_Rome';10;113391.33;30030.0;83361.33;143421.33;0.59;0.16;0.37;2.71
'Alexander_the_Great'; 'Chalkidiki';60;113391.33;2707.89;110683.44;116099.22;0.3;0.16;0.4;4.19
'Alexander_the_Great'; 'Philip_III_of_Macedon';2104;113391.33;2379.67;111011.66;115771.0;0.53;0.91;0.25;2.06
'Alexander_the_Great'; 'Mary_Renault';12;113391.33;1125.0;112266.33;114516.33;0.35;0.29;0.35;2.75
'Alexander_the_Great'; 'Leonnatus';48;113391.33;440.53;112950.8;113831.86;0.43;0.58;0.32;0.85
'Alexander_the_Great'; 'Banquet';13;113391.33;7492.31;105899.02;120883.64;0.35;0.0;0.64;13.74
'Alexander_the_Great'; 'Pangaion_Hills';13;113391.33;161.33;113230.0;113552.66;0.19;0.19;0.47;6.68
'Alexander_the_Great'; 'West_Nile_virus';46;113391.33;3783.67;109607.66;117175.0;0.31;0.07;0.84;9.55
'Alexander_the_Great'; 'Achaemenid_Assyria';28;113391.33;636.33;112755.0;114027.66;0.46;0.14;0.34;2.16
'Alexander_the_Great'; 'Tigris';22;113391.33;14208.33;99183.0;127599.66;0.27;0.15;0.37;6.76
'Alexander_the_Great'; 'Beas_River';710;113391.33;3067.0;110324.33;116458.33;0.25;0.15;0.38;2.98
'Alexander_the_Great'; 'Thasos';14;113391.33;2627.01;110764.32;116018.34;0.35;0.17;0.41;5.63
'Alexander_the_Great'; 'Jandial';13;113391.33;188.95;113202.38;113580.28;0.31;0.0;0.41;7.42
'Alexander_the_Great'; 'Anabasis_of_Alexander';40;113391.33;42.67;113348.66;113434.0;0.23;0.0;0.46;5.38
'Alexander_the_Great'; 'Roman_Republic';83;113391.33;30949.67;82441.66;144341.0;0.58;0.16;0.27;0.0
'Alexander_the_Great'; 'Amazons';12;113391.33;41365.87;72025.46;154757.2;0.41;0.14;0.37;6.12
'Alexander_the_Great'; 'Alexandria_(disambiguation)';66;113391.33;1374.74;112016.59;114766.07;0.14;0.14;0.43;6.52
'Alexander_the_Great'; 'Macedonia';19;113391.33;11426.33;101965.0;124817.66;0.15;0.0;0.47;17.5
'Alexander_the_Great'; 'Dodona';36;113391.33;3466.9;109924.43;116858.23;0.35;0.12;0.36;4.25
'Alexander_the_Great'; 'Athena';46;113391.33;90291.15;23100.18;203682.48;0.34;0.08;0.34;5.83
'Alexander_the_Great'; 'Polybius';16;113391.33;11199.19;102192.14;124590.52;0.34;0.4;0.34;1.59
'Alexander_the_Great'; 'BC';10;113391.33;4668.33;108723.0;118059.66;0.31;0.0;0;4.44
'Alexander_the_Great'; 'Paralysis';11;113391.33;12958.38;100432.95;126349.71;0.23;0.0;0.77;21.69
'Alexander_the_Great'; 'Jhelum_River';54;113391.33;3568.0;109823.33;116959.33;0.24;0.15;0.29;3.95
'Alexander_the_Great'; 'Attic_talent';209;113391.33;507.67;112883.66;113899.0;0.32;0.09;0.41;3.11
'Alexander_the_Great'; 'Chaeronea';24;113391.33;1105.93;112285.4;114497.26;0.28;0.13;0.36;5.09
'Alexander_the_Great'; 'Kerman_province';14;113391.33;76.67;113314.66;113468.0;0.23;0.0;0.57;9.27
'Alexander_the_Great'; 'Susa_weddings';143;113391.33;519.33;112872.0;113910.66;0.51;0.0;0.36;2.18
'Alexander_the_Great'; 'Panjkora_River';20;113391.33;104.0;113287.33;113495.33;0.19;0.15;0.45;5.72
'Alexander_the_Great'; 'Tutoring';18;113391.33;280.0;113111.33;113671.33;0.27;0.0;0.62;9.77
'Alexander_the_Great'; 'Cyclopes';44;113391.33;186.14;113205.19;113577.47;0.35;0.0;0.43;4.67
'Alexander_the_Great'; 'Sphinx';11;113391.33;61185.59;52205.74;174576.92;0.4;0.0;0.43;11.9
'Alexander_the_Great'; 'Abdalonymus';31;113391.33;252.11;113139.22;113643.44;0.38;0.51;0.4;0.56
'Alexander_the_Great'; 'Partition_of_Triparadisus';14;113391.33;371.33;113020.0;113762.66;0.52;0.09;0.32;2.12
'Alexander_the_Great'; 'Anatolia';629;113391.33;52805.83;60585.5;166197.16;0.4;0.17;0.28;1.29
'Alexander_the_Great'; 'Istanbul_Archaeology_Museums';28;113391.33;268.67;113122.66;113660.0;0.36;0.2;0.41;3.02
'Alexander_the_Great'; 'Paeonia_(kingdom)';43;113391.33;1169.33;112222.0;114560.66;0.45;0.15;0.35;2.17
'Alexander_the_Great'; 'Battle_of_Gaugamela';1598;113391.33;5842.33;107549.0;119233.66;0.67;0.1;0.2;0.81
'Alexander_the_Great'; 'Paranoia';35;113391.33;30959.09;82432.24;144350.42;0.37;0.0;0.69;11.31
'Alexander_the_Great'; 'Hellenistic_Judaism';729;113391.33;3978.67;109412.66;117370.0;0.45;0.11;0.35;1.66
'Alexander_the_Great'; 'Peter_Green_(historian)';10;113391.33;778.07;112613.26;114169.4;0.47;0.32;0.44;2.61
'Alexander_the_Great'; 'Athens';42;113391.33;82684.21;30707.12;196075.54;0.38;0.12;0.5;7.02
'Alexander_the_Great'; 'Gedrosia';98;113391.33;1331.58;112059.75;114722.91;0.4;0.22;0.33;1.46
'Alexander_the_Great'; 'Archelaus_of_Cappadocia';23;113391.33;218.0;113173.33;113609.33;0.26;0.85;0.43;0.24
'Alexander_the_Great'; 'Lanike';140;113391.33;214.21;113177.12;113605.54;0.43;0.33;0.34;0.48
'Alexander_the_Great'; 'Baiae';10;113391.33;2933.68;110457.65;116325.01;0.4;0.13;0.46;7.24
'Alexander_the_Great'; 'Charlemagne';28;113391.33;149675.0;36283.67;263066.33;0.47;0.52;0.47;1.3
'Alexander_the_Great'; 'Taurus_Mountains';23;113391.33;2571.67;110819.66;115963.0;0.23;0.17;0.4;6.43
'Alexander_the_Great'; 'Greek_nationalism';734;113391.33;582.33;112809.0;113973.66;0.36;0.0;0.47;3.24
'Alexander_the_Great'; 'Ares';22;113391.33;61797.37;51593.96;175188.7;0.41;0.08;0.37;6.18
'Alexander_the_Great'; 'Culture_of_Greece';87;113391.33;4231.33;109160.0;117622.66;0.54;0.0;0.36;2.76
'Alexander_the_Great'; 'Adriatic_Sea';139;113391.33;9450.67;103940.66;122842.0;0.39;0.2;0.5;3.59
