Entity1;Entity2;ClickstreamEnt1Ent2;PopularityEnt1;PopularityEnt2;PopularityDiff;PopularitySum;CosineSimilarityEnt1Ent2;DBpediaSimilarityEnt1Ent2;DBpediaRelatednessEnt1Ent2;PalmaInterestingnessEnt1Ent2;Int_Hum_Eval;ground truth (threshold 0.79);ground truth confidence values
Alexander_the_Great'; 'Mental_health';11;113391.33;19853;93538.33;133244.33;0.28;0.13;0.79;18.8;1;1;0.86
Alexander_the_Great'; 'Greco-Bactrian_Kingdom';25;113391.33;8054.74;105336.59;121446.07;0.54;0.15;0.28;0.92;0;1;0.86
Alexander_the_Great'; 'Justin_(historian)';193;113391.33;1685.96;111705.37;115077.29;0.22;0.33;0.34;2.74;1;1;0.83
Alexander_the_Great'; 'Phalanx';386;113391.33;17000;96391.33;130391.33;0.39;0.1;0.37;3.36;0;0;0.79
Alexander_the_Great'; 'Richard_Burton';16;113391.33;28327.67;85063.66;141719;0.35;0.32;0.53;6.99;1;0;0.7
Alexander_the_Great'; 'Veratrum_album';232;113391.33;544.67;112846.66;113936;0.28;0.33;0.53;4.09;1;0;0.7
Alexander_the_Great'; 'India';22;113391.33;843615.93;730224.6;957007.26;0.38;0.16;0.82;14.01;1;1;0.84
Alexander_the_Great'; 'Tajikistan';13;113391.33;71886.21;41505.12;185277.54;0.34;0.16;0.46;9.65;1;1;0.8
Alexander_the_Great'; 'Callisthenes';30;113391.33;820;112571.33;114211.33;0.44;0.36;0.34;0.86;1;0;0.66
Alexander_the_Great'; 'Ptolemy';12;113391.33;43671.68;69719.65;157063.01;0.41;0.29;0.37;3.64;1;1;0.82
Alexander_the_Great'; 'Rositsa_(river)';25;113391.33;92.98;113298.35;113484.31;0.18;0.2;0.6;12.44;1;1;0.86
Alexander_the_Great'; 'Anaximenes_of_Lampsacus';58;113391.33;127;113264.33;113518.33;0.36;0.3;0.4;3.14;1;1;0.82
Alexander_the_Great'; 'Seven_Wonders_of_the_Ancient_World';217;113391.33;39678.33;73713;153069.66;0.38;0.21;0.35;2.41;1;1;0.84
Alexander_the_Great'; 'Temenus';11;113391.33;451.05;112940.28;113842.38;0.32;0.55;0.4;1.78;1;0;0.67
Alexander_the_Great'; 'Chandragupta_Maurya';90;113391.33;65626;47765.33;179017.33;0.31;0.6;0.3;0.88;1;1;0.86
Alexander_the_Great'; 'Parysatis_II';3814;113391.33;1376.33;112015;114767.66;0.44;0.6;0.34;0.62;1;1;0.8
Alexander_the_Great'; 'Hephaestion';2166;113391.33;13039.39;100351.94;126430.72;0.61;0.61;0.2;2.84;1;1;0.88
Alexander_the_Great'; 'Ancient_Rome';10;113391.33;30030;83361.33;143421.33;0.59;0.16;0.37;3.01;0;1;0.8
Alexander_the_Great'; 'Chalkidiki';60;113391.33;2707.89;110683.44;116099.22;0.3;0.16;0.4;5.82;0;0;0.78
Alexander_the_Great'; 'Philip_III_of_Macedon';2104;113391.33;2379.67;111011.66;115771;0.53;0.91;0.25;2.89;0;0;0.78
Alexander_the_Great'; 'Mary_Renault';12;113391.33;1125;112266.33;114516.33;0.35;0.29;0.35;4.21;1;1;0.86
Alexander_the_Great'; 'Leonnatus';48;113391.33;440.53;112950.8;113831.86;0.43;0.58;0.32;1.46;1;0;0.7
Alexander_the_Great'; 'Pangaion_Hills';13;113391.33;161.33;113230;113552.66;0.19;0.19;0.47;13.15;1;0;0.67
Alexander_the_Great'; 'West_Nile_virus';46;113391.33;3783.67;109607.66;117175;0.31;0.07;0.84;12.82;1;1;0.88
Alexander_the_Great'; 'Achaemenid_Assyria';28;113391.33;636.33;112755;114027.66;0.46;0.14;0.34;3.53;0;1;0.82
Alexander_the_Great'; 'Tigris';22;113391.33;14208.33;99183;127599.66;0.27;0.15;0.37;8;1;1;0.86
Alexander_the_Great'; 'Beas_River';710;113391.33;3067;110324.33;116458.33;0.25;0.15;0.38;4.09;1;0;0.78
Alexander_the_Great'; 'Thasos';14;113391.33;2627.01;110764.32;116018.34;0.35;0.17;0.41;7.84;1;1;0.86
Alexander_the_Great'; 'Amazons';12;113391.33;41365.87;72025.46;154757.2;0.41;0.14;0.37;6.62;1;1;0.86
Alexander_the_Great'; 'Alexandria_(disambiguation)';66;113391.33;1374.74;112016.59;114766.07;0.14;0.14;0.43;9.75;1;0;0.7
Alexander_the_Great'; 'Dodona';36;113391.33;3466.9;109924.43;116858.23;0.35;0.12;0.36;5.75;1;0;0.67
Alexander_the_Great'; 'Athena';46;113391.33;90291.15;23100.18;203682.48;0.34;0.08;0.34;5.93;1;0;0.67
Alexander_the_Great'; 'Polybius';16;113391.33;11199.19;102192.14;124590.52;0.34;0.4;0.34;1.92;0;0;0.67
Alexander_the_Great'; 'Jhelum_River';54;113391.33;3568;109823.33;116959.33;0.24;0.15;0.29;5.33;1;0;0.7
Alexander_the_Great'; 'Attic_talent';209;113391.33;507.67;112883.66;113899;0.32;0.09;0.41;5.24;1;1;0.84
Alexander_the_Great'; 'Chaeronea';24;113391.33;1105.93;112285.4;114497.26;0.28;0.13;0.36;7.81;1;1;0.82
Alexander_the_Great'; 'Panjkora_River';20;113391.33;104;113287.33;113495.33;0.19;0.15;0.45;12.03;1;1;0.82
Alexander_the_Great'; 'Abdalonymus';31;113391.33;252.11;113139.22;113643.44;0.38;0.51;0.4;1.04;1;1;0.8
Alexander_the_Great'; 'Partition_of_Triparadisus';14;113391.33;371.33;113020;113762.66;0.52;0.09;0.32;3.72;1;1;0.8
Alexander_the_Great'; 'Anatolia';629;113391.33;52805.83;60585.5;166197.16;0.4;0.17;0.28;1.37;0;1;0.83
Alexander_the_Great'; 'Istanbul_Archaeology_Museums';28;113391.33;268.67;113122.66;113660;0.36;0.2;0.41;5.52;1;1;0.86
